,Country,ADD,Pork1,Pork2,Poultry1,Poultry2,Beef1,Beef2,LambGoat1,LambGoat2,Fish1,Fish2,Eggs1,Eggs2,Dairy1,Dairy2,AnimalTotal,Wheat1,Wheat2,Rice1,Rice2,Soy1,Soy2,Nuts1,Nuts2,NonAnimalTotal,Difference Animal_Nonanimal
120,Togo,,1.57,5.56,6.63,7.12,1.53,47.21,1.58,55.33,11.69,18.67,0.86,0.79,7.96,11.34,146.02,12.91,2.46,25.99,33.26,0.01,0,3.59,6.35,42.08,103.94
121,Gambia,,0.18,0.64,2.66,2.86,2.16,66.65,0.71,24.86,23.13,36.93,0.99,0.91,45.71,65.11,197.96,37.91,7.23,61.84,79.14,0,0,5.27,9.33,95.69,102.27
122,India,,0.28,0.99,1.88,2.02,0.81,24.99,0.58,20.31,4.71,7.52,2.58,2.37,84.5,120.36,178.57,60.56,11.55,69.49,88.93,0.39,0.18,1.92,3.4,104.05,74.52
123,Thailand,,13,46.01,13.69,14.71,2.56,79,0.05,1.75,19.45,31.06,12.35,11.34,29.35,41.81,225.67,10.93,2.08,114.57,146.62,2.13,0.96,1.5,2.66,152.31,73.36
124,Mozambique,,5.13,18.16,1.41,1.51,1.04,32.09,0.9,31.52,7.74,12.36,1.7,1.56,4.79,6.82,104.03,14.65,2.79,23.41,29.96,0.03,0.01,2.61,4.62,37.38,66.64
125,Cambodia,,6.52,23.08,1.84,1.98,4.85,149.66,0,0,39.59,63.21,1.37,1.26,3.47,4.94,244.13,2.74,0.52,159.1,203.6,4.33,1.95,1.25,2.21,208.28,35.84
126,Sierra Leone,,1.22,4.32,4.97,5.34,1.99,61.41,0.65,22.76,32.03,51.14,1.92,1.76,7,9.97,156.7,8.72,1.66,103.3,132.19,0,0,5.57,9.86,143.71,12.99
127,Sri Lanka,,0.05,0.18,4.96,5.33,1.38,42.58,0.09,3.15,24.92,39.79,4.57,4.2,34.98,49.83,145.05,37.01,7.06,109.72,140.41,0,0,1.09,1.93,149.4,-4.34
128,Indonesia,,2.98,10.55,7.5,8.06,2.59,79.92,0.46,16.11,25.65,40.95,4.88,4.48,14.82,21.11,181.18,25.45,4.85,134.62,172.27,1.12,0.5,4.92,8.71,186.34,-5.16
129,Liberia,,4.01,14.19,8.91,9.57,0.78,24.07,0.48,16.81,4.13,6.59,2.05,1.88,3.04,4.33,77.45,10.95,2.09,94.75,121.25,0.63,0.28,1.31,2.32,125.94,-48.49
130,Bangladesh,,0,0,1.4,1.5,1.28,39.5,1.33,46.58,18.07,28.85,2.08,1.91,21.91,31.21,149.55,17.47,3.33,171.73,219.76,0.61,0.27,0.72,1.27,224.64,-75.09
131,Greenland,,24.87,88.03,26.75,28.73,28.46,878.22,0.92,32.22,16.49,26.33,15.35,14.1,277.3,394.99,1462.61,98,18.69,4.96,6.35,0.03,0.01,5.94,10.51,35.56,1427.05
